date,stock.DJI.Open,stock.DJI.Open.sma,stock.DJI.Close,stock.DJI.Close.sma,stock.DJI.High,stock.DJI.High.sma,stock.DJI.Low,stock.DJI.Low.sma,stock.DJI.Volume,stock.DJI.Volume.sma,stock.VIX.Open,stock.VIX.Open.sma,stock.VIX.Close,stock.VIX.Close.sma,stock.VIX.High,stock.VIX.High.sma,stock.VIX.Low,stock.VIX.Low.sma,stock.VIX.Volume,stock.VIX.Volume.sma,stock.JETS.Open,stock.JETS.Open.sma,stock.JETS.Close,stock.JETS.Close.sma,stock.JETS.High,stock.JETS.High.sma,stock.JETS.Low,stock.JETS.Low.sma,stock.JETS.Volume,stock.JETS.Volume.sma,stock.DJI.Open.wavg,stock.DJI.Close.wavg,stock.DJI.High.wavg,stock.DJI.Low.wavg,stock.DJI.Volume.wavg,stock.VIX.Open.wavg,stock.VIX.Close.wavg,stock.VIX.High.wavg,stock.VIX.Low.wavg,stock.VIX.Volume.wavg,stock.JETS.Open.wavg,stock.JETS.Close.wavg,stock.JETS.High.wavg,stock.JETS.Low.wavg,stock.JETS.Volume.wavg
2019-01-12,23940.009765625,23749.99375,23995.94921875,23839.157421875,23996.3203125,23929.640234375,23798.16015625,23617.521875,262650000.0,315398000.0,19.68000030517578,20.82399978637695,18.190000534057617,19.907999801635743,20.15999984741211,21.80399971008301,18.1200008392334,19.578000259399413,0.0,0.0,28.579999923706055,28.309999847412108,28.709999084472656,28.57999954223633,28.729999542236328,28.672400283813477,28.479999542236328,28.045999908447264,11000.0,18740.0,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
2019-01-13,23940.009765625,23749.99375,23995.94921875,23839.157421875,23996.3203125,23929.640234375,23798.16015625,23617.521875,262650000.0,315398000.0,19.68000030517578,20.82399978637695,18.190000534057617,19.907999801635743,20.15999984741211,21.80399971008301,18.1200008392334,19.578000259399413,0.0,0.0,28.579999923706055,28.309999847412108,28.709999084472656,28.57999954223633,28.729999542236328,28.672400283813477,28.479999542236328,28.045999908447264,11000.0,18740.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-14,23880.529296875,23831.24765625,23909.83984375,23914.85546875,23964.900390625,23985.072265625,23765.240234375,23710.251953125,277560000.0,304070000.0,19.84000015258789,20.379999923706055,19.06999969482422,19.44199981689453,20.270000457763672,21.31599998474121,18.700000762939453,19.136000442504884,0.0,0.0,28.229999542236328,28.349999618530273,28.6200008392334,28.6439998626709,28.70599937438965,28.723600006103517,28.170000076293945,28.12799987792969,13900.0,16500.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-15,23914.109375,23878.00546875,24065.58984375,23970.48359375,24099.140625,24031.9703125,23887.9296875,23771.548046875,291570000.0,298900000.0,18.530000686645508,19.894000244140624,18.600000381469727,19.068000030517577,19.200000762939453,20.75,17.979999542236328,18.71400032043457,0.0,0.0,28.520000457763672,28.341999816894532,28.700000762939453,28.720000076293946,28.8799991607666,28.787599945068358,28.520000457763672,28.211999893188477,13900.0,16800.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-16,24139.91015625,23937.13359375,24207.16015625,24036.091796875,24288.609375,24072.75,24119.720703125,23854.86015625,302830000.0,294552000.0,18.079999923706055,19.422000122070312,19.040000915527344,18.88000030517578,19.040000915527344,19.99800033569336,17.760000228881836,18.370000457763673,0.0,0.0,29.209999084472656,28.519999694824218,29.100000381469727,28.770000076293947,29.479999542236328,28.90539970397949,29.100000381469727,28.368000030517578,211500.0,53720.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-17,24147.08984375,24004.3296875,24370.099609375,24109.727734375,24474.4609375,24164.686328125,24088.900390625,23931.990234375,288590000.0,284640000.0,19.510000228881836,19.128000259399414,18.059999465942383,18.592000198364257,19.719999313354492,19.678000259399415,17.850000381469727,18.08200035095215,0.0,0.0,29.29599952697754,28.76719970703125,29.5,28.92600021362305,29.652999877929688,29.08979949951172,29.253999710083008,28.704800033569335,8700.0,51800.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-18,24534.189453125,24123.165625,24706.349609375,24251.8078125,24750.220703125,24315.46640625,24459.029296875,24064.1640625,372970000.0,306704000.0,17.799999237060547,18.752000045776366,17.799999237060547,18.513999938964844,18.18000030517578,19.28200035095215,17.170000076293945,17.892000198364258,0.0,0.0,29.549999237060547,28.96119956970215,29.600000381469727,29.10400047302246,29.760000228881836,29.29579963684082,29.510000228881836,28.910800170898437,9000.0,51400.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-19,24534.189453125,24123.165625,24706.349609375,24251.8078125,24750.220703125,24315.46640625,24459.029296875,24064.1640625,372970000.0,306704000.0,17.799999237060547,18.752000045776366,17.799999237060547,18.513999938964844,18.18000030517578,19.28200035095215,17.170000076293945,17.892000198364258,0.0,0.0,29.549999237060547,28.96119956970215,29.600000381469727,29.10400047302246,29.760000228881836,29.29579963684082,29.510000228881836,28.910800170898437,9000.0,51400.0,23749.99375,23839.157421875,23929.640234375,23617.521875,315398000.0,20.82399978637695,19.907999801635743,21.80399971008301,19.578000259399413,0.0,28.309999847412108,28.57999954223633,28.672400283813477,28.045999908447264,18740.0
2019-01-20,24534.189453125,24123.165625,24706.349609375,24251.8078125,24750.220703125,24315.46640625,24459.029296875,24064.1640625,372970000.0,306704000.0,17.799999237060547,18.752000045776366,17.799999237060547,18.513999938964844,18.18000030517578,19.28200035095215,17.170000076293945,17.892000198364258,0.0,0.0,29.549999237060547,28.96119956970215,29.600000381469727,29.10400047302246,29.760000228881836,29.29579963684082,29.510000228881836,28.910800170898437,9000.0,51400.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-21,24534.189453125,24123.165625,24706.349609375,24251.8078125,24750.220703125,24315.46640625,24459.029296875,24064.1640625,372970000.0,306704000.0,17.799999237060547,18.752000045776366,17.799999237060547,18.513999938964844,18.18000030517578,19.28200035095215,17.170000076293945,17.892000198364258,0.0,0.0,29.549999237060547,28.96119956970215,29.600000381469727,29.10400047302246,29.760000228881836,29.29579963684082,29.510000228881836,28.910800170898437,9000.0,51400.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-22,24607.759765625,24268.61171875,24404.48046875,24350.7359375,24607.759765625,24444.03828125,24244.310546875,24159.978125,338480000.0,318888000.0,18.530000686645508,18.49000015258789,20.799999237060547,18.85999984741211,21.149999618530273,19.45800018310547,18.200000762939453,17.792000198364256,0.0,0.0,29.559999465942383,29.22719955444336,29.09000015258789,29.198000335693358,29.690000534057617,29.492599868774413,29.079999923706055,29.09280014038086,49000.0,58420.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-23,24577.25,24401.23984375,24575.619140625,24452.741796875,24700.98046875,24564.40625,24307.169921875,24243.826171875,318600000.0,324294000.0,20.850000381469727,18.954000091552736,19.520000457763672,19.043999862670898,22.020000457763672,20.022000122070313,19.469999313354492,18.09000015258789,0.0,0.0,29.423999786376953,29.407999420166014,29.100000381469727,29.278000259399413,29.423999786376953,29.601399993896486,28.940000534057617,29.176800155639647,11300.0,57900.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-24,24579.9609375,24489.25,24553.240234375,24521.9578125,24626.30078125,24631.94453125,24422.73046875,24304.428125,320170000.0,327762000.0,19.690000534057617,19.276000213623046,18.889999389648438,19.01399955749512,20.25,20.263999938964844,18.6299991607666,18.263999938964844,0.0,0.0,29.84000015258789,29.533999633789062,29.84000015258789,29.42600021362305,30.0,29.70540008544922,29.56999969482422,29.270800018310545,61100.0,27820.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-25,24687.2109375,24597.27421875,24737.19921875,24595.377734375,24860.150390625,24709.082421875,24676.75,24421.998046875,376890000.0,345422000.0,18.43000030517578,19.060000228881837,17.420000076293945,18.88599967956543,18.459999084472656,20.011999893188477,17.309999465942383,18.155999755859376,0.0,0.0,29.950000762939453,29.664799880981445,30.040000915527344,29.534000396728516,30.200000762939453,29.814800262451172,29.8700008392334,29.394000244140624,38300.0,33740.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-26,24687.2109375,24597.27421875,24737.19921875,24595.377734375,24860.150390625,24709.082421875,24676.75,24421.998046875,376890000.0,345422000.0,18.43000030517578,19.060000228881837,17.420000076293945,18.88599967956543,18.459999084472656,20.011999893188477,17.309999465942383,18.155999755859376,0.0,0.0,29.950000762939453,29.664799880981445,30.040000915527344,29.534000396728516,30.200000762939453,29.814800262451172,29.8700008392334,29.394000244140624,38300.0,33740.0,24123.165625,24251.8078125,24315.46640625,24064.1640625,306704000.0,18.752000045776366,18.513999938964844,19.28200035095215,17.892000198364258,0.0,28.96119956970215,29.10400047302246,29.29579963684082,28.910800170898437,51400.0
2019-01-27,24687.2109375,24597.27421875,24737.19921875,24595.377734375,24860.150390625,24709.082421875,24676.75,24421.998046875,376890000.0,345422000.0,18.43000030517578,19.060000228881837,17.420000076293945,18.88599967956543,18.459999084472656,20.011999893188477,17.309999465942383,18.155999755859376,0.0,0.0,29.950000762939453,29.664799880981445,30.040000915527344,29.534000396728516,30.200000762939453,29.814800262451172,29.8700008392334,29.394000244140624,38300.0,33740.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-01-28,24596.98046875,24609.832421875,24528.220703125,24559.751953125,24596.98046875,24678.434375,24323.939453125,24394.980078125,347170000.0,340262000.0,18.559999465942383,19.2120002746582,18.8700008392334,19.1,20.420000076293945,20.45999984741211,18.420000076293945,18.405999755859376,0.0,0.0,29.829999923706055,29.72080001831055,30.329999923706055,29.68000030517578,30.461000442504883,29.95500030517578,29.829999923706055,29.45800018310547,20500.0,36040.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-01-29,24519.619140625,24592.204296875,24579.9609375,24594.848046875,24674.869140625,24691.85625,24504.0390625,24446.92578125,330870000.0,338740000.0,19.450000762939453,19.39600028991699,19.1299991607666,18.76599998474121,19.93000030517578,20.21599998474121,18.420000076293945,18.449999618530274,0.0,0.0,30.5,29.90880012512207,30.510000228881836,29.96400032043457,30.600000381469727,30.137000274658202,30.35099983215332,29.712200164794922,37400.0,33720.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-01-30,24826.51953125,24642.058203125,25014.859375,24682.69609375,25109.619140625,24773.583984375,24790.900390625,24543.671875,397330000.0,354486000.0,19.149999618530273,19.0560001373291,17.65999984741211,18.3939998626709,19.309999465942383,19.673999786376953,17.540000915527344,18.063999938964844,0.0,0.0,30.59000015258789,30.142000198364258,30.90999984741211,30.326000213623047,31.06999969482422,30.466200256347655,30.450000762939453,30.01420021057129,42100.0,39880.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-01-31,24954.48046875,24716.962109375,24999.669921875,24771.98203125,25049.619140625,24858.24765625,24842.08984375,24627.54375,507350000.0,391922000.0,17.389999389648438,18.595999908447265,16.56999969482422,17.929999923706056,17.719999313354492,19.16799964904785,16.540000915527344,17.64600028991699,0.0,0.0,30.860000610351562,30.346000289916994,30.739999771118164,30.506000137329103,30.954999923706055,30.657200241088866,30.594999313354492,30.219200134277344,35800.0,34820.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-02-01,25025.310546875,24784.58203125,25063.890625,24837.3203125,25193.150390625,24924.84765625,24982.490234375,24688.691796875,372090000.0,390962000.0,16.6299991607666,18.23599967956543,16.139999389648438,17.673999786376953,16.829999923706055,18.841999816894532,16.079999923706055,17.400000381469727,0.0,0.0,30.829999923706055,30.522000122070313,30.94499969482422,30.686999893188478,31.149999618530273,30.847200012207033,30.81999969482422,30.409199905395507,18300.0,30820.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-02-02,25025.310546875,24784.58203125,25063.890625,24837.3203125,25193.150390625,24924.84765625,24982.490234375,24688.691796875,372090000.0,390962000.0,16.6299991607666,18.23599967956543,16.139999389648438,17.673999786376953,16.829999923706055,18.841999816894532,16.079999923706055,17.400000381469727,0.0,0.0,30.829999923706055,30.522000122070313,30.94499969482422,30.686999893188478,31.149999618530273,30.847200012207033,30.81999969482422,30.409199905395507,18300.0,30820.0,24613.04541015625,24567.634765625,24698.7978515625,24412.740234375,338535000.0,19.375000476837158,19.15749979019165,20.46999979019165,18.402499675750732,0.0,29.69350004196167,29.517500400543213,29.828500270843506,29.365000247955322,39925.0
2019-02-03,25025.310546875,24784.58203125,25063.890625,24837.3203125,25193.150390625,24924.84765625,24982.490234375,24688.691796875,372090000.0,390962000.0,16.6299991607666,18.23599967956543,16.139999389648438,17.673999786376953,16.829999923706055,18.841999816894532,16.079999923706055,17.400000381469727,0.0,0.0,30.829999923706055,30.522000122070313,30.94499969482422,30.686999893188478,31.149999618530273,30.847200012207033,30.81999969482422,30.409199905395507,18300.0,30820.0,24784.58203125,24837.3203125,24924.84765625,24688.691796875,390962000.0,18.23599967956543,17.673999786376953,18.841999816894532,17.400000381469727,0.0,30.522000122070313,30.686999893188478,30.847200012207033,30.409199905395507,30820.0
2019-02-04,25062.119140625,24877.609765625,25239.369140625,24979.55,25239.91015625,25053.43359375,24977.669921875,24819.437890625,298540000.0,381236000.0,16.719999313354492,17.867999649047853,15.729999542236328,17.04599952697754,16.729999542236328,18.10399971008301,15.600000381469727,16.836000442504883,0.0,0.0,30.959999084472656,30.747999954223634,31.290000915527344,30.879000091552733,31.290000915527344,31.013000106811525,30.959999084472656,30.635199737548827,13600.0,29440.0,24784.58203125,24837.3203125,24924.84765625,24688.691796875,390962000.0,18.23599967956543,17.673999786376953,18.841999816894532,17.400000381469727,0.0,30.522000122070313,30.686999893188478,30.847200012207033,30.409199905395507,30820.0
2019-02-05,25287.9296875,25031.271875,25411.51953125,25145.86171875,25427.3203125,25203.923828125,25287.650390625,24976.16015625,310650000.0,377192000.0,15.789999961853027,17.135999488830567,15.569999694824219,16.333999633789062,15.9399995803833,17.305999565124512,15.039999961853027,16.1600004196167,0.0,0.0,31.350000381469727,30.91800003051758,31.389999389648438,31.054999923706056,31.468000411987305,31.186600112915038,31.34000015258789,30.832999801635744,17800.0,25520.0,24784.58203125,24837.3203125,24924.84765625,24688.691796875,390962000.0,18.23599967956543,17.673999786376953,18.841999816894532,17.400000381469727,0.0,30.522000122070313,30.686999893188478,30.847200012207033,30.409199905395507,30820.0
